input,output
Students’ identities were also affected by this sudden change to forced lockdown study time. More specifically, as explained in chapter “Positive Surprises and Particular Struggles:​ A Case Study Exploring Students’ Adjustment to Online Learning and Associated Emotions
Creating a positive technology-mediated learning environment is critical to achieving a successful digitized learning process. Chapter “Language MOOCs as an Emerging Field of Research:​ From Theory to Practice,” by Elena Martín-Monje
In accord with shifting learning and teaching practices into online settings, assessment as an integral component of any pedagogical program was affected creating a number of pedagogical barriers for the teachers. Chapter “Transition to Online Assessment:​ Challenges and Issues for Language Lecturers
Though this shift to remote online learning represents a challenge for students, particularly with managing their own learning
A high-quality online learning environment depends mainly on the teacher who develops adaptive and innovative learning scenarios, establishes engaging and flexible mediums
Moodle is the focus of chapter “Exploring Moodle Effectiveness in Fostering Online ESP during the COVID-19 Pandemic:​ An Analysis of Task Performance and Students’ Perceptions in Online Language Learning Contexts”, by Antonio-José Silvestre-López and Carolina Girón-García
Communication is also key in chapter Robb M. McCollum’s “Developing Speaking Proficiency in Online Courses through Tabletop Role-playing Games”, where the author displays the effectiveness of games in varied domains: to motivate learners
Speaking is also the focus of chapter “Digitalizing a Multimodal Genre-based Approach to Teaching Elevator Pitch:​ Pedagogical implications and Students’ Experiences,” by Vicent Beltrán Palanques. In his study
Chapter “Developing L2 Reading Skills:​ The Advantages of Teacher-Algorithm Collaboration in Digital Learning Games,” by Roger Gilabert
The transformation into digitalization and the intra-pandemic learning experiences presents challenges and opportunities to both teachers and students. It manifests that students need to be trained on utilizing coping mechanisms and stress management strategies in order to engage in digital classroom activities utilizing various technological resources and tools. Furthermore, this abrupt turn from the conventional physical classrooms to virtual environment settings reflects educators need to incorporate flexible multiple layers of pedagogy into the educational process including group work
The COVID-19 pandemic prompted educational institutions to adopt teaching and learning strategies that reduce face-to-face interaction and guarantee a smooth transition to the implementation of online and/or blended learning using learning management systems (LMS) (e.g., Moodle
Adopting contextualized perspectives on technology-mediated language learning and teaching in ESL/EFL classrooms, this book establishes a theoretical framework and sheds light on innovative practices within and beyond English language education. We expect that this book delivers what it promises
Teachers have been forced to adapt their teaching practices to the online context by using “emergent technologies” (Godwin-Jones, 2016). These technologies can be new developments of already known ones (e.g.
Adell and Castañeda (2012) propose a parallel concept to “emerging technologies”: “emerging pedagogies”. The educational use of “emerging technologies” generates the publication of experiences and the discussion on their possibilities. As a result, there should be a co-evolution of technologies and their pedagogical use. However
The use of emergent technologies to improve the effectiveness of learning in general, and language learning in particular
All these digital tools and resources share one common trait: multimodality. They include different semiotic modes such as images, sounds
By providing insights into English language teachers’ reported practices on their online teaching experiences during the COVID-19 crisis, this paper intends to contribute to the analysis of how this crisis has affected the teaching practices of language teachers in Higher Education
A total of 43 lecturers from 18 countries participated in our study (see Table 1). They were randomly approached according to two main criteria: (i) they had to be teaching English language in a university and (ii) they should have experienced being in lock down due to the COVID-19 pandemic crisis for at least 2 weeks when answering the first questionnaire. Some of them were authors’ contacts and others were approached by some colleagues. They were informed about the aim of the research and voluntarily accepted to participate and to share their personal data, which have been kept undisclosed. The 43 participants answered the first questionnaire (Appendix 1 at https://​sites.​google.​com/​uji.​es/​movingonlinecovi​d/​home/​appendix-1).Table 1Distribution of participants’ responses and code for the countries
As for their experience at the university, most of the participants (81%
I think it is a very interesting experience and it did develop my skills as a teacher in various respects. For one thing, I have had to get a firmer grasp on the software and apps that could be used for online communication. It opened an entirely new world of possibilities that could be effectively used in the future. Second
Although I feel like I’ve gained some experience in teaching online, I do think that ‘on campus’ teaching works better for language classes/workshops because of the face-to-face interaction and informality. (2BP33)
When asked if they changed their methodology of teaching, 24 in Q1 and 23 teachers in Q2 (55.8% and 65.7%
Q2 was more specific about methodology changes and the responses indicated that teachers adapted (77%, n = 27) and created (60%
[I use digital tools] very differently depending on the task and the intended learning outcome. But in general, I use them to mimic something I might want to achieve in a f2f session. So
As for the consequences of the changes due to COVID-19 on language teaching, Q2 respondents highlighted some negative aspects such as lack of socialisation and group cohesion among students (48.6%
Teachers were asked in both questionnaires about the digital resources they were using in their emergency remote English language teaching. Concerning platforms, Moodle was clearly predominant in the first period (35%
Regarding the teachers’ experiences in the use of CMS and online lecturing tools, one of the lecturers surveyed explained how they used the Moodle platform.
The results revealed a twofold perspective on the experience teachers lived through, which is clearly reflected in their responses shown in Sect. 3.2. On the one hand
COVID-19 does not seem to have brought a change in methodology in the English language subjects. The main reasons appear to be the temporality of the situation, accompanied by the lack of time to prepare the materials
This unexpected and disruptive situation has left universities in a better position to develop blended and online learning in the future, as Adell and Castañeda (2012) predicted
This study has been developed as part of the research project funded by the Research Promotion Plan at Universitat Jaume I (Spain), grant ID: UJI-B2020-09.
It is evident that teaching and learning under such difficult circumstances is challenging and requires creative thinking and a problem-solving mindset. This contrasts with planned online education courses, which are carefully and methodically designed by groups of professionals.
Mishra (2019) adds flexibility to the framework by including the variable of context. This places emphasis on teachers’ knowledge and experience of working within the constraints of a particular structure, organization
The COVID-19 pandemic can be seen as a catalyst for encouraging expertise and creativity among both experienced and newly qualified teachers. These teachers have been forced by circumstances into a sudden transition from a face-to-face to an ERT environment, regardless of their experience or competence in using technology and regardless of any external barriers that may exist
In terms of recalibrating professional development for language and other teachers, both during the COVID-19 pandemic and in the post-pandemic world
In terms of the presentation of the data in the next section: questionnaire participants are coded as ‘P1’ for questionnaire participant 1, then ‘P2’
Participants actively sought resources and support from a wide range of sources for teaching English languages classes online. Resources including webinars, in some cases these being compulsory (P-C)
Another factor in terms of enhancing learning within a particular setting is the availability of mobile phones, laptops
There were a number of participants in this study who seemed to have adapted reasonably well to ERT in an online environment. These participants came across as highly motivated to spend considerable amounts of time preparing their classes and had often engaged in professional development, both via online events and through personal exploration. They seemed to possess the ‘can do’ attitude described in Balchin and Wild (2015) and to seek out ways to make things work
Briefly summarise the context of your online teaching experience in the past year (e.g., education level
What challenges have you experienced when teaching online – technical, administrative and/or pedagogical?
Even in situations where online learning is a carefully planned and anticipated part of a study program, the move from face-to-face classrooms to computer-mediated communication environments necessitates a significant role adjustment and instigates a wide array of emotions on the part of students. The coronavirus pandemic presented a unique opportunity to take stock of students’ experiences in light of a rapid transition to unknown modes and practices
In the move from face-to-face (F2F) classroom experiences to computer-mediated communication environments, students undergo a significant role adjustment (Cleveland-Innes et al.
The process of adjustment to an online learning (OL) environment as well as the emotions experienced by first-time online learners have mostly been investigated in situations where OL has been methodically planned. Moreover, students (and teachers) tend to have either proactively chosen to undertake their studies (or teaching) online
Another core difference between planned and EOL resides in the availability and ability of role models (i.e. teachers and peers experienced in OL) to support novice online learners during the transition process. In the initial period of adjusting to an OL environment, students often “grapple with requirements
Much of the important emerging research on students’ (emotional) experiences of the COVID-19-induced transition to OL has either gathered data from large-scale, quantitative studies using Likert-scale or tick-box questions (e.g. Besser et al.
Role adjustment is necessitated by the differences in activities and modes of communication in a new environment (Cleveland-Innes et al., 2007
Cleveland-Innes et al.’s (2007) study found that first-time online learners were able to articulate their adjustment process from F2F classes to AOL in answers to open-ended questions. Five themes arose in the analysis: interaction (quantity and value of written communication with teachers and peers), self-identity (increased responsibility for learning); instructor role (visibility and feedback); course design (effectiveness of course structure and delivery); and technology (issues). Furthermore
SOL is implemented through teleconferencing media. Many options for communication exist; audio and video can be set to be one-way (the teacher is heard and seen by the students) or two-way (teachers and students can both hear and see each other), with both conditions usually enabling text-based chat. In synchronous communication environments
Learning in synchronous online classes has been shown to touch on students’ emotions. When reflecting on his experience of facilitating online chat activities, Ng (2004
A central reason why a thoughtful consideration and further exploration of emotions is of great magnitude is because emotions can generate subsequent actions which “may range from a determination to invest mental energy in the learning process to the adoption of coping strategies to protect well-being and survive the challenge” (Wosnitza & Volet, 2005
Although the current study was not explicitly designed to investigate language learning in online settings, it was deemed important to situate it within a foreign language learning context because such classrooms are notorious for negative emotions. In Resnik and Dewaele’s (2021) research undertaken during the COVID-19 pandemic which compared language students’ perceptions of EOL and F2F classes
Students’ responses to the first five of a total of 11 open-ended reflection questions comprise the data for this study:When you found out that learning would take place online, what were your first thoughts and/or emotions?
Interest: “I was eager to discover new ways of learning.”; “I was curious to see how online learning would play out, since I feel like some classes could perfectly be given online.”
Pride: “Also for speaking skills, working in the small groups really gave me the feeling I was making some progress.”
The primary aim of this study was to explore students’ adjustment to the role of online learner in an EOL context and to identify the emotions associated with specific areas of adjustment. By examining the experiences that students expressed in their responses to reflection questions, we were able to better understand which areas signaled the most significant adjustments (i.e. aspects which students emphasized). We were also able to see which adjustments induced either positive or negative emotions
All 40 students depicted several role adjustment experiences in their responses, with the representative examples in the sections below being reported as verbatim. A total of 293 comments relating to the adjustment process were identified
Another sub-theme mentioned by 4 students was their observation of teachers adapting to the OL setting. One particularly interesting comment hinted at the uncertainty caused by not having an experienced role model to follow in a new learning environment; “it was weird because the professors also didn’t really know what to do”. Students’ perceptions of teacher confidence with the pandemic-induced transition to OL are important because they have been found to positively predict factors such as enjoyment, interest
Other areas of adjustment included learning in a different physical environment (mentioned by 9 students in mostly positive comments such as being “happy to be able to go home” and feeling “comfortable”), not commuting (mentioned by 8 students in mostly positive comments and often consequently linked to “feeling more rested” and it being “easier to focus on classes”)
This study sheds light on the experiences of 40 higher education EFL students in Belgium who, like millions of students around the world
1. When you found out that learning would take place online, what were your first thoughts and/or emotions?
1. When you found out that learning would take place online, what were your first thoughts and/or emotions?
1. When you found out that learning would take place online, what were your first thoughts and/or emotions?
SELF (autonomous learning: discipline, staying focused)
and I think most professors also became comfortable with online learning, which helped a lot
The transition to online learning was difficult, because of all the chaos. We had many courses to keep up with and many professors tried to communicate with us about certain assignments and classes on Ufora. However
I don’t think the experience was too bad all together, it just demanded a lot of discipline.
The last thing I liked about online learning was the fact that I was at home, and could for example take a break by going for a walk
The present study draws from the need to face twenty-first-century Engineering students’ lack of oral communication skills in digital environments. The existing deficiencies became evident during the months of COVID-19 lockdown in 2020, when most communication processes
University graduates seeking employment in the engineering area of multinational corporations face the challenge of standing out in a highly competitive job market. Among the primary skills they must command are communication, teamwork
The lack of communication skills among engineering students is also evident in digital oral communication. The existing deficiencies have become especially visible during lockdown months, when most of the communication processes
The paradigm shift in communication was especially evident during the COVID-19 lockdown, when most communication processes were digital. Recent studies claim that the proliferation of digital oral communication is reshaping the quality and quantity of face-to-face communication
One of the most recent attempts to develop an oracy skills framework was undertaken by Neil Mercer, Paul Warwick and Ayesha Ahmed in 2014. They identified the skills needed to communicate effectively
Building communication skills focuses on five content and cognition elements: audience, content
The extraordinary situation caused by the COVID-19 pandemic gave us the opportunity to collect our students’ perceptions of their command of oral skills in digital environments as 100% of our communication activities were online. This was not the case before the pandemic when all our teaching practice was face-to-face. Drawing on a challenge-based learning methodology (Fidalgo et al., 2017; Nichols et al.
To examine students’ perceptions of their command of digital oral skills in ESP context, a case study was carried out with a group of 76 students from the Higher Technical School of Computer Engineering of the UPM who were enrolled in the English for Professional and Academic Communication subject
To explore our students’ perceptions about their command of digital oral skills, we developed a self-assessment sheet for them to evaluate their ability to communicate in digital video environments: video pitches and video presentations (see Appendix A).
Fig. 2Scoring criteria for grading digital oral skills. (Bobkina & Domínguez, 2020)
Building communication skills achieved the highest number of positive responses (Table 3): 84.2% (N = 64) of the respondents rated their command as average or high compared to 15.8% (N = 12), who described it as low. However
Within the group of building communication skills, the linguistic area was the most negatively affected. As shown in Table 4
Regarding performing communication skills, essential deficiencies stand out both in the physical (non-verbal language) and socio-emotional areas (interaction
To complete the information retrieved from the quantitative analysis and further explore our students’ perceptions of their command of digital oral skills, we developed a self-assessment sheet based on our theoretical framework for research on digital oracy skills followed in the self-assessment sheet (Bobkina & Domínguez
The qualitative data resulting from their responses were analysed using three main codes from the framework’s main areas: building communication skills, performing communication skills and creating digital content skills (Fig. 2). These comprise further sub-categories also shown in Fig. 2: content/cognition and linguistic area
‘I think that the presentation and the concepts that we expose are arranged in a clear way. The slides show both information and images about the project. We believe that the last slide with some of the sources provides credibility and information, not only in the presentation but also the one that has more interest afterwards.’
‘My main strength in this project is that i had made some other videos previously, uploaded on platforms that thousands of people watched and i am used to talking in front of many people’.
‘Another weak point could be that when trying to summarize so that the presentation was concise and that we did not digress into things that were not important, it is possible that I have been a little short when explaining it’.
‘In the presentation, I think that I could have better unified the two slides
‘My main weakness on this oral presentation are the resources that I have in my actual house to record and edit the video, without my usual computer I have done my best to record and upload to a platform to share’.
The study was undertaken in the belief that it could help better understand the ESP Engineering university students’ needs when communicating in digital oral environments through the analysis of students’ perceptions about their command of digital oral skills. Digital settings for oral communication are gradually becoming more generalised in the modern labour market. Their relevance as an essential element in current engineering education can hardly be overestimated (Bejaković & Mrnjavac, 2020; Minh et al.
The study results reveal that digital oral communication is a pending subject for almost 21% of the respondents who described their level of command as low or inadequate. Regarding the skills involved in communication, difficulties were detected at all three stages of language communication: building
Building up communication skills was described by most students as the least troublesome area, especially when it comes to cognition and content. These results could be explained by students’ broad experience in organising and presenting information during their academic years. On the contrary
Regarding performing communication skills, essential difficulties were detected in approximately 22
When dealing with the socio-emotional aspects of communication, lack of self-confidence and speaking anxiety are the two most common problems described by around 20% of the surveyed students. In particular
The pedagogical implications of the study point to the need for an emphasis on digital communication in both professional and academic contexts, preparing students for the new communication reality that is led by technology. Teachers should consider using video recordings and presentations as effective tools to prepare students for twenty-first-century communication. They should incorporate different techniques and activities that would be beneficial to them for developing skills related to digital communication
Council of Europe. (2001). Common European framework of reference for languages: Learning, teaching
Language MOOCs (Massive Open Online Courses) have been identified as an emergent and expanding field of research. They represent an innovative educational proposal that emphasizes the open and social side of language learning in digital environments. This chapter offers an overview of the state of the art in the field, with distinct parts. First
In the context of language learning (LL), the debate regarding whether MOOCs are good quality and effective learning environments has become even more contentious
This chapter provides an overview of the state-of-the-art in Language MOOC (LMOOC) research with a special focus on English learning. In fact, English language MOOCs are not only the ones most widely offered
The concept of open education was in its origin very much linked to the appearance of The Open University in Britain (1969) – which claimed that access to education and educational resources should be viable and free for all-and removing the access requirements that universities normally have. This concept gradually evolved (Weller, 2012) and nowadays open education is more identified with online teaching and digital resources that are offered openly
Revise: the right to adapt, adjust
OERs have a great potential for the teaching and learning of foreign languages (Beaven et al., 2013; Comas-Quinn et al.
Sokolik (2014) goes further down this line and provides some recommendations for social learning with LMOOCs specifically: (1) maximize engagement and interaction; (2) facilitate, but do not manage
Despite the criticism, LMOOCs are on the rise. The pandemic has boosted the interest in online learning and led to what Shah (2020) has called ‘The Second Year of the MOOC’. Back in 2012
Attempts to overcome the xMOOC/cMOOC dichotomy and find the model that is most suitable for language teaching and learning. Some authors even argue that a blended modality, combining LMOOCs and face-to-face classes is the ideal method for optimal language learning.
Reflection on the new role of the teacher in LMOOCs. The source of knowledge is not the instructor -who acts as a facilitator- but the open resources available in the LMOOC, and this creates a new balance between teacher and student.
Importance of social learning in LMOOCs, and how this has to be further explored
LMOOCs focusing on certain skills: These are devoted to specific aspects of LL which pose special difficulty for EFL/ESL learners, such as “Conversational English skills” by Tsinghua University on edX6 or “The pronunciation of American English” by the University of California
Tandem LMOOCs combining L1 and L2: These courses adopt an eTandem learning approach, in which “pairs of learners who are native or near-native speakers of each other’s target languages collaborate to learn each other’s language” (Appel & Pujolà
MOOCs on English Medium instruction (EMI) and CLIL (Content and language integrated learning): In the past decades there has been a growing demand for learning contexts in which subjects are taught in a foreign language -often English- with the double aim of learning simultaneously the content of the subject and the foreign language. CLIL is usually followed in Primary and Secondary Education, while EMI has been adopted by many HEIs. In line with this trend
MOOCs on LL methodology: Both this final category and the previous one are devoted to EFL/ESL professionals who wish to keep up to date with English teaching and learning methodologies. Some examples of MOOCs catering for these needs are “TESOL strategies: Supporting ESL students in Mainstream Classrooms” by the University of Glasgow on FutureLearn16 or “TESOL methodology” by University of Maryland, Baltimore county.17
The second most accessed learning object in LMOOCs is textual resources (Martín-Monje et al., 2018). These resources can be included as core content
There seems to be agreement that a powerful set of communication tools is one of the defining features of successful LMOOCs (Sallam, 2020)
This chapter has outlined the main advancements in the field of LMOOC research for English teaching and learning, providing an insight into its theoretical foundations
LMOOCs represent an innovative educational initiative in the online EFL/ESL learning scenario, with novel proposals for content delivery (giving prominence to audio-visual resources)
Textual resources are also relevant, but they tend to be used as downloadable support materials
A powerful set of communication tools is essential in an LMOOC. Forums are the main means of interaction, but some courses include videoconferences
The inclusion of some learning strategies in the LMOOC has a positive effect on the LL process, so it should be further explored and implemented by course designers.
The chapter describes a model for the design and implementation of oral communicative tasks. This task-based language teaching model connects asynchronous and synchronous online language instruction to foster language learning (with a focus on oral communication) through incremental task progressions. The model grew out of professional development innovations and years of pre-pandemic online and remote teaching practices at a large U.S. university. What sets our model apart is the purposeful scaffolding of a series of thematically and linguistically related interactive tasks, enabling students to develop the skills and confidence necessary to engage productively in the core interpersonal task. Specifically
are goal oriented. There is a goal and communicative purpose to the task itself that requires negotiation and an open outcome that can be reported back, and not just the display of rehearsed language.
are opportunities for reflective learning. Through its experiential and open nature, the task affords learners opportunities for reflective learning.
Students describe their family members’ and/or friends’ interests. The goal is to practice certain structures (she likes/dislikes; her hobby is...) and vocabulary (family relations, hobbies)
One key feature of this instructional design model is its carefully sequenced interplay between the synchronous and asynchronous modalities and the different ACTFL modes of communication (See Table 2). Specifically, the core interpersonal synchronous task in our model is bookended by two related asynchronous presentational tasks. The preceding task is both thematically and linguistically linked to the core task
2. Preliminary presentational task and peer responses (e.g., asynchronous video discussion tool)
1. Follow-up presentational task and peer response (e.g., asynchronous video discussion tool
Lessons do not exist in a vacuum but are delivered in a sequence within the context of larger curricular units. Our example lesson is no exception. While this task series centers on oral communicative tasks and does not explicitly dictate what types of initial language learning might need to precede it, the nature of the oral tasks assumes that students come to the task with some background knowledge and language. The cornerstone synchronous task of this lesson
(CLO 1: Presentational) I can express my preferences on familiar and everyday topics of interest, using simple sentences most of the time.
Updated resources should be posted to the interactive session document available to students, including in it any relevant content from the saved chat log from the synchronous session. Links to the follow-up asynchronous video discussion task
The instructor prepares and shares a delayed feedback video that has a language focus (Willis, 1998
For instructors whose classroom format changes semester to semester, the Model for Scaffolded Technology-Enhanced Oral Communicative Tasks offers an easy adaptation to other modalities. With almost no alterations
This chapter describes a task-based model for the design and implementation of oral tasks that is designed to help language instructors scaffold instruction by capitalizing on the strengths of both synchronous and asynchronous modes. Synchronous sessions continue to be an essential part of language teaching and learning, and using a model such as ours can help practitioners continue to center their instruction around synchronous interactions without relying solely on what is afforded by the synchronous mode. By properly sequencing synchronous and asynchronous modes
Online assessment practices have been affected by various factors ranging from teachers’ technological competence to devices and tools offered and made available both to teachers and students. The current study aimed at exploring challenges and issues experienced by language lecturers in Turkish tertiary contexts during their transition to online/distance learning and teaching. The participants of the study included seventy-five language lecturers at the School of Foreign Languages and the Department of Foreign Language Education at various state universities in Turkey. The study used quantitative data provided by the participants’ responses to the online survey which included several short-answer questions regarding how they assessed students during the pandemic. The survey was created through Google Forms and shared with the participants via emails and social networking sites. The major results of the study indicated that a great majority of the participants did not have any power in the selection of the assessment types as the university senates determined the main assessment to be assignments or projects. The results also showed that academic integrity and grading were other concerns during the online assessment, in addition to technical problems
Much has been discussed about the importance of assessment and also the influence of technology in enhancing learning and teaching practices (Ferdig et al., 2020; Ferdig & Pytash
Assessment is an indispensable part of learning and teaching practices, and language learning is not an exception to this
Learners can be provided with resources in and outside the classroom by using the available tools and websites on the Internet (Gimeno-Sanz et al., 2014; Lomicka & Lord
As for the changes introduced into the existing language tests, Wagner and Krylova (2021) investigated how an oral communication test was moved online at Temple University. Rather than moving the test online
Ockey et al. (2021) indicated that Iowa State University decided to hold the placement test of oral communication face-to-face with strict limitations regarding health safety measures. This face-to-face decision was due to several limitations, but mainly security issues regarding determining the test taker’s identity and the limitations of technology. Zhang et al. (2021) investigated Chinese EFL teachers’ practices in online assessment practices during the COVID-19 pandemic and collected data through semi-structured retrospective interviews. The results indicated that teachers introduced several changes to their assessment practices
Mahapatra (2021) explored online formative assessment and feedback practices of three ESLT teachers that work in tertiary education in Nepal, Bangladesh
The study benefited from qualitative data through online surveys through which the participants responded to several short-answer questions regarding how they assessed their students in the courses offered during the pandemic and the opportunities and challenges faced during this process. The survey was created through Google Forms and shared with the participants through emails and social networking sites such as Facebook at the end of the Spring Semester in June 2021, and the responses were collected for 3 weeks.
As my university required all the lecturers to use assignments or projects for the midterms and finals, I prepared several tasks which would require the students to do some research on the topic and synthesize what they obtained. I tried to ask questions or creates tasks that would not lead them to copy and paste the information from the internet.
Assessing the speaking skill is a really challenging task during online assessment. As there were many students in my class, it was not possible to practice speaking. In my classes
Academic integrity was another challenge of online assessment since many participants (n = 64) expressed that as there were no precautions taken against cheating during the online exams and it was not possible to determine the authorship of the assignments and projects submitted. Regarding this, one participant expressed that:It is not possible to avoid cheating or prevent students from getting others to do the work. This is a genuine concern if there are no precautions taken about the security of the exam. It was really difficult to know who was the actual author of the assignment submitted [Participant ID7].
Grading exams was another issue indicated by most of the participants (n = 60). It was stated that as some universities required final exams to be conducted as the assignments and/or projects, and many classes were overcrowded
Related to grading essays and projects, several participants (n = 23) expressed that in addition to the hours spent in front of the screen before and during online teaching
Assessment is an indispensable part of any teaching and learning context, and language learning practices are not an exception to this. Assessment practices have been crucial in tertiary education
This chapter is the significantly improved version of the presentation published as an abstract in the Book of abstracts- The 10th conference on linguistic and intercultural education- CLIE 2020, 1 Decembrie 1918 University of Alba Iulia
Advances in global awareness and attention to diverse populations have led to an increased need for educators to learn how to serve diverse students. Accelerated by the recent shift to online instruction and assessment to support students’ learning during the COVID-19 pandemic; educators face an unprecedented imperative to move instruction online and still meet the needs of all learners. In this chapter, I discuss the need for equitable online instruction and make explicit that equitable online instruction is beneficial for all learners
Connecting these critical points in practice to support language learning is imperative to providing equitable access for all learners. While previous research has focused on the cognitive considerations for language learning and identified connections to high incidence disabilities, like reading disabilities (i.e.
Representation – Presenting information to students in multiple ways to provide opportunities for understanding the learning targets and what to do, and
Engagement refers to the act of motivating students to participate in the instruction and learning process. This means that the more students are interested or motivated in the instruction, they might be more likely to pay attention
Referring to the hypothetical class activity and academic language goals, educators should incorporate multiple strategies such as increasing students’ time on task (i.e.
Three main guidelines also support the representation principle. This refers to building in multiple representations to present information in a variety of ways (i.e., multimodal) and building in options for individualized interaction with the content (refer to Guideline 1: Provide Options for Perception
Understanding learners’ needs beyond what they need to know from an English language instructional standpoint can be a complex endeavor. Some helpful examples of these approaches in the literature and practice are represented in the Microsoft Inclusive Design Toolkit. The Microsoft Inclusive Design Toolkit is a free resource (at the time of writing this) that introduces three key concepts. First, that needs emerge across all learners
Each of these time-bound conditions can introduce challenges for learners and how they experience English language instruction. Ranging from some minor inconveniences to more prevalent and profound impact, each can impact opportunity to learn. As a result
Possible limit of visual access and demonstration of certain skills, e.g.
Construct definition and selected representation and action & expression challenges across language skills, e.g.
 Learning to read (read aloud, decoding) v. reading to learn (comprehension) and accommodations (e.g.
Another challenge implied in the earlier discipline-specific academic language example is the lack of an existing off-the-shelf curriculum that is accessible for the full range of learners. Although in our earlier example, building a graph and using academic language to describe the graph was the learning target
While previous research has explored the connections between language learning and cognitive disabilities (i.e., reading disability; dyslexia)
1For an overview of the meaning behind the “specific learning difficulties” phrase, refer to Kormos (2017). Given the variability in terminology for this group of learners which also includes students with disabilities who may advocate for more authentic identity-first (e.g.
This chapter reports on a Flipped Teaching experience combining content delivery by means of a tailor-made Massive Open Online Language Course (LMOOC) and in-depth classroom tuition through a Debate project for learners of English for Specific Purposes (ESP). Surveys were administered at the outset and at the end of each of these two teaching methods, as well as a questionnaire enquiring about the flipped classroom approach implemented. The pre-course surveys served the purpose of exploring learners’ expectations
According to the Flipped Learning Network (2014, n.p.)
Although a language learning classroom can be flipped in many ways, the model described in this chapter relies on content delivery through a Massive Open Online Language Course (LMOOC) designed for upper-intermediate learners of English as a foreign language and on a Debate project.
The LMOOC supported autonomous learning with video recorded micro lessons dealing with theoretical concepts (i.e., grammar explanations and use of language) which were further developed into listening
To elicit how learners foresaw participating in an ESP course based on Flipped Teaching practices that relied on two very different learning scenarios (an LMOOC and a Debate) and to explore what their expectations were and their degree of satisfaction upon course completion, the students were asked to complete two pre- and post-course surveys. One focused on the LMOOC and the other on the Debate project. Lastly
The Flipped Teaching experience described in this chapter was conducted during two consecutive years with two cohorts of third-year Aerospace Engineering students (7 female and 26 male), enrolled on a B2 level ESP (English for Specific Purposes) course at the Universitat Politècnica de València (UPV)
Using class time to discuss each learning topic in more depth, promoting a learner-centred approach. Encouraging students to be actively involved in knowledge construction.
MOOCs in general are open access online courses designed for self-access learning yet delivered following an academic calendar. Customarily, many of these courses are also available on a self-paced basis after the first calendar iteration. Being self-paced has important implications on learning. As such
All the exercises are automatically assessed by the system except for those designed to practice and reinforce productive skills where learners are requested to deliver open text and speaking activities. One of the assessment modes built into the MOOC platform used2 is based on peer-assessment. This was chosen for all the writing assignments in the course. These were set so that each student would have to assess three written assignments using a specifically designed rubric before they could receive their own evaluation. This type of assessment has the added value of encouraging learners to reflect on their peers’ language errors, question their own errors and
Debating falls under the umbrella of argumentative and persuasive language. It is a form of communication meant to convince an audience that the speaker is correct, using evidence and reason. Because a debate is a process that involves formal discussion on a particular topic where opposing arguments are put forward to argue for opposing viewpoints
Distribution of roles (team in favour, team against
Setting up collaboration tools for each team to share sources of information, documents to support their position and prepare their arguments
Presentation on debate structure, rules
The pre-LMOOC questionnaire consisted of 43 questions divided into 6 sections enquiring about (1) demographics; (2) attitude toward language learning; (3) use of information and communications technologies; (4) expectations toward the course; (5) learning styles and preferences, and (6) prior knowledge about the Common European Framework of Reference for Languages (Council of Europe
The pre-course questionnaire was completed by all 33 students. Two quarters of them responded they had previous experience learning English online, either at school or independently (n = 16
Their attitude toward learning English was, overall
A follow-up question enquired about the preferred learning modality for this subject with three options: (a) Self-access learning (learning online without a tutor); (b) Autonomous learning (guided by a tutor), and (c) Blended learning (both combined). Nearly two thirds (60.6%
Providing learners with appropriate feedback after each completed task is central for an adequate progression in language learning (Livingstone, 2012; Nassaji
With regard to the Debate project, only 1 student had prior experience so it was very important to phase the activities that would lead to the live debate and provide appropriate training and practice.
