input,output
unwind the const property back from the calling function, once again ending up with a program that 
stand-alone function, you must write a prototype and a definition for a method. Note that the class defi- 
to other methods or functions. It is also sometimes useful for disambiguating names. For example, you 
dime 3 = 0, ww = Op 
function-call syntax. Based on the syntax for other constructors, you might be tempted to call the default 
function or method receives a copy of the variable, not the variable itself. Thus
look at the line in its full functional syntax, you can see the problem: 
When you return objects from functions or methods, it is sometimes difficult to see exactly what copying 
malfunction. A production application would probably use exceptions to report error conditions, as 
This code appears outside of any function or method bodies. It’s almost like declaring a global variable, 
You call a static method just like a regular function from within any method of the class. Thus, the 
thing for any method or function in C++. Specifically, you can overload the function or method name by 
using it for multiple functions, as long as the number or types of the parameters differ. For example
A constructor with defaults for all its parameters can function as a default constructor. That is, you can 
method or function call. Instead, the compiler should insert the method or function body directly into 
the code where the method or function call is made. This process is called inlining, and methods or func- 
the function or method definition. For example, you might want to make the setter and accessor meth- 
tute the function body if it can’t see the function definition? Thus, if you write inline functions or 
C++ allows classes to declare that other classes or nonmember functions are friends, and can access 
You write this function just like any other function, except that you can directly access private and 
exposing internals of your class to other classes or functions. Thus, you should use them only in limited 
function overloading, and recall that function overloading does not look at the return type of the function. 
pointers or function pointers, consult Chapter 13). Now
declaring a simple function pointer, except for the addition of SpreadsheetCell1: : before the 
method to a function such as qsort () that requires a function pointer, which simply won’t work. 
definition of Sub adds functionality to its parent class by providing an additional method, 
in place of WeatherPrediction. It will provide the same functionality, but nothing new yet. 
existing functionality to get the temperature in Fahrenheit, but converts the result before returning it. 
additional functionality defined in the Sub class. However, slicing does not occur if a subclass is assigned 
If you were to implement the design shown in Figure 10-5, you might discover that the subclass would 
use the model in Figure 10-5, which implies that somehow a DoubleSpreadsheetCel1 “is-a” 
One possible approach is to implement “do nothing” functionality for those behaviors. For example, 
or arise from untidy class hierarchies. Figure 10-8 shows a class diagram for the preceding example, 
functionality as a virtual method. In this case, a better implementation would be to declare a virtual 
The typeid functionality is sometimes handy in debugging, however. It is useful to print out the type of 
The logObject () function first writes the name of the object’s class to the file, followed by its log mes- 
to make sure that the shared parent doesn’t have any functionality of its own. That way, its methods can 
ent to have its own functionality. If the shared parent is a virtual base class, there will not be any ambigu- 
If you want to declare a function or method that takes a Grid object, you must specify the type stored in 
This parameter list is similar to the parameter list in a function or method. As in functions and methods, 
which you’re familiar from functions and methods. However, templates allow nontype parameters to be 
You can also write templates for stand-alone functions. For example, you could write a generic function 
The Find() function template can work on arrays of any type. For example, you could use it to find the 
Although the specialized find function could take just char* instead of char*& as its first parameter, it’s 
You can also overload template functions with nontemplate functions. For example, instead of writing a 
This function is identical in behavior to the specialized version in the previous section. However, the 
for char*s. The compiler always prefers the nontemplate function to a templatized version. However, if 
Function templates are useful when you want to overload operators in a class template. For example, 
alone function template. The definition, which should go directly in Grid.h
This function template will work on any Grid, as long as there is an insertion operator for the elements 
implementations for a subset of possible types without specializing individual types. For example, you 
The C++ standard does not permit partial template specialization of functions. Instead, you can over- 
cialization of the Find() function, presented earlier in this chapter
The compiler always chooses the “most specific” version of the function, with non- 
templates. When you actually sit down to write a template class or function, you can consult this chapter 
ime 2 = 3, w= ay 
pass-by-reference semantics for arguments passed to the function. When you use reference parameters, 
the function receives references to the function arguments. If those references are modified, the changes 
When the function swap () is called with the arguments x and y, the first parameter is initialized to 
in the variable argument to the function or method However, you should not limit your use of pass-by- 
reference to only those cases. Pass-by-reference avoids copying the argument to the function, providing 
pointers so that the the function can change the actual pointers, and the address of two ints so that the 
modify the int *s that are used as arguments to the function (through the reference), without any 
With this version of the function, you no longer need to pass the addresses of the pointers or ints. The 
functions and global variables have external linkage. However, you can specify internal (or static) link- 
precedes the first instance of the function name, there is no need to repeat it. 
marking a variable or function static, wrap it in an unnamed namespace like this: 
cially in large programs. For similar functionality, you should use static class members and methods. 
initialization has been performed for a certain function. For example, code that employs this technique 
times find yourself in a situation where a function is specified to take a const variable, which it must 
you want to write a quick-and-dirty debug function that prints strings to stderr if a debug flag is set, 
Macros are a remnant from C that are quite similar to inline functions, except that they are not type 
2 + 2,leading to this expansion: 
simple and straightforward. The malloc () function still exists in C++, but we recommend avoiding it. 
A similar difference exists between the free() function and the delete function. With free (), the 
As Figure 13-6 illustrates, the heap-based array is similar to the stack-based array
In the preceding function, docArray is a dynamically allocated array. Do not get this confused with a 
There is a function in C++ called realloc(), which is a holdover from the C language. Don’t use it! In 
The memory diagram for this array is shown in Figure 13-7. As you can see, it is no different from an 
size of a single element in the array. In Figure 13-8, the three-by-three board is 3*3*1 = 9 bytes
board[0] actually refers to the subarray highlighted in Figure 13-9. When you add a second subscript, 
The caller of this function can pass a stack-based or heap-based array. In the case of a heap-based array, 
Even if the function doesn’t explicitly have a parameter that is a pointer, the parameter-passing seman- 
passed to a function, it is always passed as a pointer. 
C++ contains several functions from the C language that operate on strings. As a general rule of thumb, 
these functions do not handle memory allocation. For example, the strcpy() function takes two strings 
class) that supports many of the same operations as the <cstring> functions but, best of all
You could capitalize mySt ring by passing it into this function. However, if you only wanted to capital- 
You don’t normally think about the location of functions in memory, but each function actually lives at a 
to the family of functions that have the given characteristics. For example, the following line declares a 
if (inFunction(values1l[i], values2[i])) { 
To call the findMatches() function, all you need is any function that adheres to the defined yesNoFcn 
function, which returns true if the two parameters are equal: 
Because the intEqual () function matches the yesNoFcn type, it can be passed as the final argument to 
function pointer, it could compare based on other criteria. For example
By using function pointers, a single function
returned from the getMoreData() function, all of the data has been received. 
==15606== Copyright (C) 2002-2003, and GNU GPL'd
==15606== Copyright (C) 2000-2003, and GNU GPL'd
If an improperly terminated string were handed to this function, it would only be a matter of time before 
handy syntax for functionality that could be handled through methods on the string class. However, 
functionality to be explored. If you take a peek at the <ostream> header file, you'll see many lines of 
There are several interesting observations to make about the previous function. First, its parameter is a 
Boolean value true and false will be treated as the Boolean value false. If noboolalpha is set, 
Why would you want to overload <<? If you are familiar with the printf () function in C, you know 
different functions, while retaining the current read position. String streams are also useful for parsing 
guages generally rely on return values from functions and other ad hoc approaches. Other languages, 
handler. It calls function B (), which calls function c ()
assume that its return codes are the same as other similar functions. That is not always true. On Solaris 9, 
The function to initialize a semaphore in the POSIX version is called sem_init (), and the function to 
the two functions handle error codes differently! sem_init () returns —1 and sets errno on error, while 
Another problem is that functions in C++ allow only one return value, so if you need to return both an 
occurred several function calls down the stack, without error-handling code in the intermediate 
a function can be violated at run time. These, and other
If the function fails to open the file and executes the throw exception() ; line, the rest of the function 
If a function or method specifies no throw list, it can throw any exception. You've already seen this behav- 
write this main() function, assuming that you can catch the int: 
Throw lists don’t prevent functions from throwing unlisted exception types, but 
When a function throws an exception that is not listed in its throw list, C++ calls a special function 
terminate the program — it can’t just exit the function normally. If it throws a new exception, that excep- 
throw list for the function specifies bad_exception, then bad_exception will be thrown. Otherwise
Given the opportunity to specify the behavior of a function in its signature, it seems wasteful not to take 
advantage of it. The exceptions thrown from a particular function are an important part of its interface, 
function past the current point of execution is skipped. However, local objects and variables in each 
C++ allows you to specify a new handler callback function. By default, there is no new handler
you centralize the failure handling to one function, and you don’t need to litter your code with 
the same as in any other function, but it is subtler in constructors because you’re accustomed to letting 
whether you are executing as a result of a normal function exit or delete call, or because of stack 
unwinding. The function uncaught_exception (), declared in the <exception> header file
your chance by exiting the function early due to an exception, you will never be able to go back 
// T£ this function is called from the copy constructor, 
// This function is called from operator=, in which case the 
always be an object of that class. If you write a global function, the left-hand-side can be an object of a dif- 
or global function is simple! However, most operators do not impose this requirement. 
function. This rule applies specifically to operator<< and operator>>, where the left-hand 
different from normal functions, which you can overload with any number of parameters. Additionally
methods of the class or global friend functions, summarizes when you should (or should not) overload 
operator> comparison function want to operator<(const T&, 
really apply to individual types: they aggregate results of Boolean expressions. Additionally, you lose 
The trickiest part of these functions is that, in order for mValue to be set correctly
know that the STL map provides associative array-like functionality, including the use of operator [] 
C++ allows you to overload the function call operator, written as operator (). If you write an operator () 
Here is an example of code that uses the function-call operator, contrasted with the call to a normal 
An object of a class with a function call operator is called a function object, or functor for short. 
function objects as callback functions to routines that expect function pointers, as long as the function 
Q You can customize the behavior of a function object by setting data members. For example, you 
Sometimes it is useful to be able to use objects in Boolean expressions. For example, programmers often 
In order to allow stream objects to be used in Boolean expressions, but prohibit their undesired promo- 
functions are called for every new expression and delete expression in the program, unless there are 
The call to the function remains the same. However, consider what happens when you pass-by-value in 
the first version of the function. In order to initialize the p parameter of processPerson (),me must be 
to the processPerson() function, and so must be destroyed when the function exits. This destruction 
Just as you should pass objects by reference to functions, you should also return them by reference from 
functions in order to avoid copying the objects unnecessarily. Unfortunately, it is sometimes impossible 
to another type for use in a larger expression. This rule applies mostly to function calls. For example, sup- 
Even if the result of the function is not used anywhere, the compiler might still generate code to create 
in an attempt to generate a functional program; in our experience, most efficiency optimization is per- 
ond set summarizes the amount of time spent executing each function in the program. The first, and 
in those lines shows the number of calls to the function (500,500 to nameExists () and 499
these functions are almost identical; they could probably be combined. In addition, most of 
// function incremented it, so we just continue. 
forms the same functionality as six PowerPC instructions. As a C++ programmer, you don’t need to know 
or legacy code that was written in C. Functions and classes, as you’ve seen many times in this book
work just fine together. A class method can call a function, and a function can make use of objects. 
The C++ function is written as normal. Keep in mind that you are implementing a function, not writing 
There are many different ways to deal with these problems. Figure 19-1 shows a formal bug process, 
A less formal approach is shown in Figure 19-2. In this workflow, anybody can file a bug and assign an ini- 
The final test (for now) checks the release functionality. Once an object is released, the Object Pool can 
tem that performs each function as a virtual user. This would be a scripting challenge, though several 
to each function, requiring changes to all the function prototypes in the whole program. 
// This function must print the entries in order. If the buffer has wrapped, 
The assert macro in the <cassert> library is a powerful tool. It takes a Boolean expression and, if the 
functioning inside asserts. For example, a line like this is asking for trouble: 
passes the object by value to the processCitations() function, which prints out the info using the 
at the function that reads the citations from the file. If that doesn’t work right, then obviously the object 
containers provide different functionality, the iterators present a common interface to code that wishes to 
helper function printVector () that prints the contents of the vector to cout, but whose implementa- 
space allocation by “packing” the Boolean values. Recall that a bool is either true or false, and thus 
The library also provides a utility function template, make_pair ()
is more useful when you want to pass a pair to a function. Unlike class templates, function templates 
take logarithmic time. It is usually implemented as some form of balanced tree, such as a red-black tree. 
count () member function. It returns the number of elements in the map with a given key. For maps, the 
and friend functions. The string interface is actually quite a good example of a cluttered interface, 
non-const object returns a proxy object to which you can assign a Boolean value, call £1ip()
are called function objects, or just functors. 
Q) Predefined function object classes: arithmetic function objects, comparison func- 
rithms are implemented as function templates, where the template type parameters are usually iterator 
templatized functions can usually deduce the template types from the function arguments, so you can 
generally call the algorithms as if they were normal functions, not templates. 
late() algorithms in detail. The next section presents the function objects, and the final section dis- 
specified in the function call, not the end iterator of the underlying container. 
If a container provides a method with the same functionality as a generic algorithm, 
This program passed a pointer to the perfectScore() function, which the £ind_if() algorithm then 
The accumulate() function does just that. In its most basic form, it calculates the sum of the elements 
used in place of function pointers. These objects are called function objects, or just functors. 
tion pointer as one of the parameters. When you use these functions, you can pass a functor instead of a 
function pointer. That fact, in and of itself
If you use the function objects as callbacks in algorithms, make sure that the 
In addition to the arithmetic function object classes, the C++ language provides all the standard 
C++ also provides function object classes for the three logical operations: logical_not, logical_and
When you try to use the basic function objects provided by the standard, it often feels as if you’re trying 
functional composition, or combining functions together to create the exact behavior you need. 
The function not1() negates the result of every call to the predicate it takes as an argument. Of course, 
greater_equal is a binary function, bind2nd() has already converted it to a unary function
method instead of a normal function pointer or functor. As explained in Chapter 9, the code to calla 
method pointer is different from that to call a normal function pointer, because the former must be called 
used as the callback where a unary or binary function is expected, respectively. 
function adapter, mem_fun()
You can’t use normal function pointers directly with the function adapters bind1st (),bind2nd()
using legacy C functions, such as those in the C Standard Library. If you write your own callbacks
encourage you to write function object classes, as described in the next section. 
not a number. The <cctype> header file provides a legacy C function called isdigit (), which returns 
a function object, you need to use the ptr_fun() adapter to generate a function object that can be used 
by the predefined functors. If you want to be able to use the function adapters with these functors, you 
either unary_function or binary_function, depending on whether they take one or two arguments. 
the “function” they provide. For example, instead of using ptr_fun() to convert isdigit ()
class myIsDigit : public unary_function<char, bool> 
functionality they are required to provide. Specifically, every random access iterator is also bidirectional
The STL provides three utility algorithms implemented as function templates: min (),max()
The nonmodifying algorithms include functions for searching elements in a range, generating numerical 
class MinAndMax : public unary_function<int, void> 
The merge () function allows you to merge two sorted ranges together, while maintaining the sorted 
satisfaction. We don’t show an example of the heap functions here, but the Standard Library Reference 
The includes () function implements standard subset determination, checking if all the elements of one 
The set_union(),set_intersection()
operations. For set_union() and set_symmetric_difference(), the result is at 
newEnd = set_union(setOne.begin(), setOne.end()
newEnd = set_intersection(setOne.begin(), setOne.end()
sionally attempt to register and vote anyway. Using your newfound algorithm and function object skills, 
functions and functors that are not yet written. As the example progresses, the missing implementations 
The top-level function, auditVoterRoll1s()
class RemoveNames : public unary_function<pair<const string, list<string> >
Note that RemoveNames subclasses unary_function, a technique described earlier in this chapter. The 
class NameInList : public unary_function<string, bool> 
and function objects available for your use, and showed you how to write your own function objects. 
function objects. If not, think for a moment about rewriting the voter registration audit example without 
If you aren’t impressed by the algorithms and function objects, or find them too complex
Conversely, every deallocation is performed with a call to the deallocate() method of the Allocator 
The insert_iterator and front_insert_iterator function similarly, except that the 
provide logarithmic insertion, lookup
usable in the generic algorithms functions, you must specify its traits. Recall from the discussion of writ- 
iterator should function like the iterator, but should provide read-only access to the elements. The itera- 
public std::binary_function<value_type, value_type
size_type erase (key_type&) ; Three different forms of erase. Logarithmic, 
public std::binary_function<value_type, value_type
Consider the following function declarations, which provide the ability to send data to another com- 
the network functions, which only process strings. The solution is to add serialization and deserializa- 
example. Assume that you have a function called getNext SentenceXML (), which asks the user for a 
callback functions or an object that implements certain methods. As the document is parsed, the appro- 
priate functions or methods are called, giving you a chance to perform an action. For example
The XML attributes are not shown in Figure 24-4 because they are properties of an element, not children 
Following is a main () that tests the serialization functionality by creating a Simple object, writing it to 
function, this issue will not be a problem. However
passing them as arguments to functions, adding another level of safety is essential. 
Q) Because all types are checked inside a single method, a subclass would have to override all 
might end up with something like Figure 25-1, which organizes the classes according to their attack and 
and passing them to OS-provided functions. For example, to draw a rectangle in a window
ing functionality. When talking about frameworks, programmers are usually referring to large class 
lection of C-style functions, not a cohesive class. 
Both programs have the same functionality. After executing, the file log. out should contain the follow- 
Figure 26-4 shows the same program, but with a FordFactory instead of a ToyotaFactory. Note that 
The following sample program makes use of this function to build 10 cars, whatever brand they might 
it needs a language-specific piece of functionality, it can just ask the LanguageFactory. For example
the game. The Player class would include functionality that requires network connectivity, such as an 
following function, designed to be called when the Player has won
functionality or protect against performance concerns. Sometimes, the underlying abstraction cannot be 
require only a subset of Xerces’ functionality. By writing a wrapper, you can maximize ease of use for the 
The next step is to define the new interface to the underlying functionality. For this example, we will 
deleted. In order to implement this functionality, the ParsedXMLElement needs to keep a static count of 
Since adapters exist to provide a more appropriate interface for underlying functionality, their use 
shown in Figure 26-5, but that design could be cumbersome and would grow exponentially as new 
This leads to situations like the one shown in Figure 26-6, where an ItalicParagraph operates ona 
track it down. If the interviewer hands you a function and tells you that it crashes when run, he or she 
set_intersection(), 99
set_union(), 99
arithmetic function objects, 624-625 
realloc() function, 355 
Boolean expression conversions, 455-457 
C functions, 630 
member functions, 629-630 
adding functionality, 231-233 
replacing functionality, 233 
stand-alone functions or classes, 78 
comparison function objects, 625-626 
functions, 16-17 
free() function, 353 
malloc() function, 352-353 
realloc() function, 355 
inline functions, 472 
integer function return codes, 403 
free() function, 353 
function call operator overloading, 448-449 
calling member functions, 629-630 
function pointers, 372-373 accessor operations
function templates, 295-299 constructors
functional relationships, 69-70 erase operations
functions insertion operations, 687-688 
inline functions, 204-205
legacy C functions, 630 arrays
getline() function, 387 
global functions and operator overloading, 433-434 Rational Purify
adding functionality, 231-233 
replacing functionality, 233 
inline functions, 204-205
print£() function, 379 
scanf() function, 379 
integer function return codes, 403 
1/0 streams (continued) code reuse, 787 
print£() function, 379 I/O streams
scanf() function, 379 libraries
legacy C functions, 630 
logical function objects, 627 
main() function, 3 
malloc() function, 352-353 
mem_fun_ref() function, 629-630 merge () algorithm
free() function, 353 access control
malloc() function, 352-353 access specifiers
realloc() function, 355 back ()
functional, 69-70 
calling member functions, 629-630 
function call operator, 448-449 
global functions, 433-434 
print£() function, 379 
scanf() function, 379 
function call operator, 448-449 
global functions, 433-434 
overloading template functions, 297-298 
functions, 272 plus
printf () function, 379 
inline functions, 472 
realloc() function, 355 
functional, 69-70 
stand-alone functions or classes, 78 
scanf () function, 379 
set_intersection() algorithm, 99
set_union() algorithm, 99
unsupported functionality, 100 replace()
adding functionality, 231-233 
replacing functionality, 233 
function templates, 295-299 
writing function objects, 630-631 
responsibility for its use and execution and agree not to sell or create derivative products, 
functions, and portability
functions, and portability
fgets( ). The fopen( ) function does two things. First, it creates a network socket
Let's use PHP's built-in functions to create your first webbot," which downloads a ""Hello"
As shown in Listing 3-1, fopen( ) establishes a network connection to the target
Before we can execute the example in Listing 3-1, we need to examine the two ways to 
An alternative to fopen( ) and fgets( ) is the function file( ), which downloads formatted 
element. The script in Listing 3-2 downloads the same web page used in Listing 3-1, but it 
The file( ) function is particularly useful for downloading comma-separated value (CSV) files, 
require additional functionality to handle advanced issues such as form submission, 
built-in functions alone. Therefore, most of this book's examples use PHP/CURLto download 
functions do and a lot more. PHP/CURL REFERENCE expands on cURL's features, but here's a 
Unlike the built-in PHP network functions, cURL supports multiple transfer protocols
download a file from a Webserver with PHP's fopen( ) or file( ) functions, your agent name 
wrapper function, which simplifies the complexities of a code library into something easier to 
While LIB_http has many functions, we'll restrict our discussion to simply fetching files from 
PHP's built-in functions for downloading files from the Internet. Not only is the interface simple, 
The script in Listing 3-6 downloads the page and displays the requested page, any errors
Listing 3-7 shows what is produced when the script in Listing 3-6 is executed, with the array 
Listing 3-7: File contents, errors
Some of these functions use an additional input parameter, $data_array
If you don't understand what all these functions do now, don't worry. Their use will become 
99 percent of your parsing tasks. Whether or not you use the functions in LIB_parse, I highly 
The function provided for that task is split_string( ), shown in Listing 4-1. 
When Listing 4-4 is run in a shell, the results should look like Examples of using 
function, but it returns an array of all items that match the parse description or all 
occurrences of data between two delimiting strings. This function, for example
The parse_array( ) function , shown in Listing 4-5
When the script in Listing 4-6 runs, the result should look like Using parse_array() to parse 
Results of running Listing 4-8, showing parsed image names shows the output of Listing 4-8. 
Results of running Listing 4-8, showing parsed image names 
In addition to the previously described parsing functions in LIB_parse, PHP also contains a 
built-in PHP parsing functions, along with examples of how they are used. 
function stristr() looks for an occurrence of needle in haystack. If found, stristr() 
The script in Listing 4-14 uses a variety of built-in functions, along with a few functions from 
for their data values. In Listing 5-1, a variable called session_id is set to 0001
emulation techniques shown in Listings 5-4 and 5-5. I n either case, the variables term and 
Conversely, since the GET method places form information in the URL's query string
webbot is set to something that looks like a browser (as shown in Listing 5-11). Obviously, if 
to use different standards to help identify differences between functions, data 
LIB_mysql consists of a few server configurations and three functions, which should handle 
abstractions with the same function names used in LIB_mysql. In this way, you can make the 
As shown in Listing 6-1, the configuration section provides an opportunity to define where 
Each function uses a similar interface, and each provides error reporting if you request an 
script in Listing 6-2, making it look like the table in Example table people after executing the 
Listing 6-3, which changes the Zl P code for the record. 
Running the script in Listing 6-3 changes values in the table, as shown in Example table 
For database functions other than inserting or updating records, LIB_mysql provides the 
exe_sql( ) function, which executes a SQL query against the database. This function is 
Listing 6-6 shows the code to extract, decode
Listing 6-6: Script to query, decode
to use different standards to help identify differences between functions, data 
LIB_mysql consists of a few server configurations and three functions, which should handle 
abstractions with the same function names used in LIB_mysql. In this way, you can make the 
As shown in Listing 6-1, the configuration section provides an opportunity to define where 
Each function uses a similar interface, and each provides error reporting if you request an 
script in Listing 6-2, making it look like the table in Example table people after executing the 
Listing 6-3, which changes the Zl P code for the record. 
Running the script in Listing 6-3 changes values in the table, as shown in Example table 
For database functions other than inserting or updating records, LIB_mysql provides the 
exe_sql( ) function, which executes a SQL query against the database. This function is 
Listing 6-6 shows the code to extract, decode
Listing 6-6: Script to query, decode
these functions. This script downloads the default HTML file from http://www.schrenk.com, 
Listing 6-10, showing the value of compressing files. 
The script from Listing 6-10, showing the value of compressing files 
built-in function that automatically strips HTML tags from a document. For example, if I add 
the lines shown in Listing 6-11 to the previous script, we can see the affect of stripping the 
space with a simple PHP function called trim( ), without reducing your ability to manipulate 
The script in Listing 6-12 fetches an image from the Internet, writes a copy of the original to 
The product of running the script in Listing 6-12 is shown in Output of Listing 6-12, making 
The thumbnailed image shown in Output of Listing 6-12, making thumbnails with 
Output of Listing 6-12, making thumbnails with LlB_thumbnail 
|i. iunraity 1*7 CaFFnan Of, iff
[] You can use webbots to perform a variety of diagnostic functions. For example, a webbot may 
The first script (Listing 8-1) shows the main webbot used in The image-capturing bot, when 
calls the download_images_for_page( ) function, which gets the images and stores them in a 
Our image-grabbing webbot uses the function download_binary_file( ), which is designed to 
function download_binary_file($file, $referer) 
Listing 8-2: A binary-safe file download routine, optimized for webbot use 
purposes. This function, shown in Listing 8-3
The main function for this webbot, download_images_for_page( )
The webbot downloads the target web page with the http_get( ) function, which was 
<a and > into an array. [l The function parse_array( ) is not case sensitive, so it doesn't 
Listing 9-3 also includes some HTML formatting to create a nice-looking report, which you'll 
Fully resolved URLs are made with the resolve_address( ) function (see Listing 9-5), which 
The webbot downloads the target web page with the http_get( ) function, which was 
<a and > into an array. [l The function parse_array( ) is not case sensitive, so it doesn't 
Listing 9-3 also includes some HTML formatting to create a nice-looking report, which you'll 
Fully resolved URLs are made with the resolve_address( ) function (see Listing 9-5), which 
10-4, performs the following steps: 
Listing 11-3. In particular, this step replaces &amp with the preferred & character. 
contents. The tags shown in Listing 12-2, however
Listing 12-3: Main aggregation webbot script, describing RSS sources and display format 
As you can tell from the script in Listing 12-3, most of the work is done in the LIB_rss 
In addition to using the http_get() function in the LIB_http library, this script also employs 
function download_parse_rss($target, $filter_array) 
Listing 12-8 is identical to Listing 12-4, with the following exceptions: 
function report_error_and_quit ($er ror_message, $server_connection ) 
// It is not traditional to end a function this way, but since there is 
function report_error_and_quit ($er ror_message, $server_connection ) 
// It is not traditional to end a function this way, but since there is 
This function returns data in an array, with elements containing a status code
function get_nntp_article_ids($server, $newsgroup) 
When you execute the code in Listing 14-6, you'll see a screen similar to the one in Reading a 
previous function call, this longer identifier is universal and references this article on any 
function read_nntp_article($server , $newsgroup
() function found in the LIB_parse library (see PARSING TECHNIQUES), as shown in Listing 
the get_attribute( ) function, to obtain the actual boundary value. [] Finally
() function found in the LIB_parse library (see PARSING TECHNIQUES), as shown in Listing 
the get_attribute( ) function, to obtain the actual boundary value. [] Finally
library contains functions for connecting to the mail server, authenticating your account on 
Note: Before you use the script in Listing 15-10, replace the values for SERVER
In Listing 15-11, the script makes the connection to the server and
Listing 15-12: Reading, displaying
Listing 15-13: Closing the connection to the server, or noting the login error if necessary 
PHP provides a built-in function for sending email, as shown in Listing 16-2. 
LIB_mail with a function formatted_mail( ), which makes it easy to send emails that are 
function formatted_mail($subject, $message
web pages. To send HTML-formatted emails with the formatted_mail( ) function, do the 
While the example in Listing 17-1 is hypothetical, you can see that interfacing with a webbot in this 
When a programmer accesses a webbot from a function interface, he or she gains the ability to use 
This project uses a web page that decodes ZIP codes and converts that operation into a function, 
This example function uses the interface shown in Listing 17-2, where a function named 
The script that interfaces the target web page to a PHP function, called describe_zipcode( )
While the example in Listing 17-1 is hypothetical, you can see that interfacing with a webbot in this 
When a programmer accesses a webbot from a function interface, he or she gains the ability to use 
This project uses a web page that decodes ZIP codes and converts that operation into a function, 
This example function uses the interface shown in Listing 17-2, where a function named 
The script that interfaces the target web page to a PHP function, called describe_zipcode( )
Now that you know how to write function interfaces to a web page (or in our case, a form)
Listings 18-1 and 18-2 are the main scripts for the example spider. Initially, the spider is limited 
Listing 18-1: Main spider script, initialization 
Listing 18-2: Main spider script, harvesting links 
functions that parse links from a web page when given a URL, archive harvested links in an 
an array. This function, shown in Listing 18-3
function archive_links($spider_array, $penetration_level
The function get_domain( ) parses the root domain from the target URL. For example, given 
function excluded_link($spider_array, $link) 
Functionally, the addition of the payload involves the inclusion of the image download library 
When the script in Listing 19-1 is run, it displays a screen similar to the one in Result of 
Listing 22-1 shows the cookies' names, values
Listing 22-1 shows the cookies' names, values
Listing 23-3: Cookie file declaration, as made in LIB_http 
As noted in Listing 22-3, the address for a cookie file should be a fully resolved local one. 
the scripts in Listing 22-1 (available at this book's website), PHP/CURL writes the cookies (in 
Listing 22-4: The cookie file, as written by PHP/CURL 
Listing 22-5: A PHP/CURL script, capable of managing cookies for multiple users 
In the batch file shown in Listing 23-1, the operating system executes the PHP interpreter
In the batch file shown in Listing 23-1, the operating system executes the PHP interpreter
Before using the method described in Listing 25-1, review a list of HTTP codes and decide which 
The script in Listing 25-2 verifies that a validation point, in this case a username
In Listing 25-4, the web page tells the browser to download http://www.nostarch.com instead 
Listing 25-9 finds and parses the values of all forms in a web page. When run, it also finds the 
example in Listing 25-11. If you eliminate the time-out, your script may hang permanently if it 
Before using the method described in Listing 25-1, review a list of HTTP codes and decide which 
The script in Listing 25-2 verifies that a validation point, in this case a username
In Listing 25-4, the web page tells the browser to download http://www.nostarch.com instead 
Listing 25-9 finds and parses the values of all forms in a web page. When run, it also finds the 
example in Listing 25-11. If you eliminate the time-out, your script may hang permanently if it 
() function, as shown in Listing 26-10. 
technique. The eval() function, which interprets the variable settings in Listing 26-10
the functions that make the request and receive the data. In contrast to XML, where the client 
directly execute functions on remote services, which return data in easy-to-use variables. An 
not to follow links from this web page to other pages. Conversely, index and follow 
not to follow links from this web page to other pages. Conversely, index and follow 
file( ) function, downloading files with 
update() function, of LIB_mysql 
wrapper function, using PFIP/CURL within 
less obvious Scheme/Lisp-style functional roots, it is exceedingly ap- 
passing around functions as callbacks, which encourages the Java- 
Therein lies the paradox of JavaScript, the Achilles’ heel of the lan- 
While this subset has been famously dubbed “The Good Parts,” I would 
program elements such as variable or function names, databases
the scope of every function, but what exactly it refers to bedevils even 
inside of the function, this is not in fact pointing at all to that function 
To reference a function object from inside itself, this by itself will 
// anonymous function (no none), cannot 
In the first function, called a “named function
out( . . ) has no name identifier (called an “anonymous function”), so 
to avoid the use of anonymous functions altogether, at least for 
function (expression), arguments.callee is deprecated and 
the foo identifier as a function object reference in each place, and not 
that it somehow refers to the function’s scope. It’s a tricky question, 
When a function is invoked, an activation record
about where the function was called from (the call-stack), how the 
function was invoked, what parameters were passed
this is neither a reference to the function itself, nor is it a reference 
this is actually a binding that is made when a function is invoked, and 
chain of function calls in order, as we did with the comments 
the first line of the foo( ) function, or simply inserted the de 
list of the functions that have been called to get to that line, 
applies to the function call, and so points this at the global object. 
context object for a function reference, the implicit binding rule says 
when an implicitly bound function loses that binding, which usually 
ing a function, it’s an implicit reference assignment
What if the function you’re passing your callback to is not your own, 
function setTimeout(fn, delay) { 
It’s quite common that our function callbacks lose their this binding, 
control of how your callback function reference will be executed, so 
question to include a reference on itself to the function, and use this 
jority of functions provided, and certainly all functions you will create
the function bar, it will always manually invoke foo with obj. This 
function bind(fn, obj) { 
Many libraries’ functions, and indeed many new built-in functions in 
They’re just regular functions that are, in essence
structor functions,” but rather construction calls o/functions. 
When a function is invoked with new in front of it, otherwise known 
4. Unless the function returns its own alternate object, the new- 
function bind(fn, obj) { 
fNOP = function(){}, 
function foo(pl,p2) { 
1. Is the function called with new {new binding )? If so, this is the 
2. Is the function called with call or apply {explicit binding), even 
3. Is the function called with a context {implicit binding), otherwise 
as parameters to a function call. Similarly, bind( . . ) can curry pa- 
